Clave,Nombre,Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos)
27016,Teapa,13405,50976,59598,0,1,605,ND,15800,47997,79328,0,1,635,ND,15207,41344,41344,0,1,665,ND,14998,43353,63934,0,1,509,4964,15911,47880,68106,0,1,519,3810,16342,55180,82243,0,1,523,ND
27017,Tenosique,18270,48286,56966,0,1,854,ND,18229,48397,62709,0,1,905,ND,17964,48775,64612,0,1,980,ND,18531,55170,78042,0,1,1001,38564,18837,57145,76088,0,1,1017,45941,19352,57500,81020,0,1,1022,ND
27996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,ND
27997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28001,Abasolo,3814,18908,22772,ND,ND,ND,335,3927,19458,26002,ND,ND,ND,287,3960,17124,23953,ND,ND,ND,437,3600,14458,23838,ND,ND,ND,0,3739,16864,22455,ND,ND,ND,0,3779,12457,16789,0,0,0,ND
28002,Aldama,8730,36834,44390,ND,ND,ND,1149,8511,36851,49183,ND,ND,ND,1010,8900,29806,40450,ND,ND,ND,0,8337,27284,40488,ND,ND,ND,4228,9332,29957,38406,ND,ND,ND,0,9994,27177,39088,0,0,0,ND
28003,Altamira,53314,673790,725236,ND,ND,ND,2827,57960,577098,710166,ND,ND,ND,2651,62373,564552,730742,ND,ND,ND,1080,68126,587286,890999,ND,ND,ND,623,74134,727595,829580,ND,ND,ND,0,78068,794850,1035587,0,0,0,ND
28004,Antiguo Morelos,2737,7445,8204,ND,ND,ND,799,2829,8243,9963,ND,ND,ND,0,2831,7042,8382,ND,ND,ND,153,2861,7034,8699,ND,ND,ND,285,2950,8329,10723,ND,ND,ND,0,3052,8283,10854,0,0,0,ND
28005,Burgos,1609,4521,5029,ND,ND,ND,1106,1692,5033,6083,ND,ND,ND,247,1752,3875,4778,ND,ND,ND,0,1727,3108,4346,ND,ND,ND,0,1857,5142,6634,ND,ND,ND,464,1893,4728,6350,0,0,0,ND
28006,Bustamante,1159,1889,2311,ND,ND,ND,194,1174,1922,2538,ND,ND,ND,0,1193,1594,1946,ND,ND,ND,0,1220,1658,2130,ND,ND,ND,200,1267,1798,2430,ND,ND,ND,0,1303,1721,2359,0,0,0,ND
28007,Camargo,7475,33451,39543,ND,ND,ND,2380,7562,35834,45480,ND,ND,ND,1747,7559,33657,44335,ND,ND,ND,779,7651,33807,47263,ND,ND,ND,17,7710,34813,46919,ND,ND,ND,128,7434,28565,41047,0,0,0,ND
28008,Casas,1002,4415,4236,ND,ND,ND,0,1010,5115,5251,ND,ND,ND,0,969,3144,3542,ND,ND,ND,2086,687,2671,3337,ND,ND,ND,9997,1243,3378,4426,ND,ND,ND,4589,1244,3984,5462,0,0,0,ND
28009,Ciudad Madero,64782,283689,322388,ND,ND,ND,0,65193,292769,369164,ND,ND,ND,0,66227,360158,475700,ND,ND,ND,0,70433,347695,505267,ND,ND,ND,0,71409,368711,402940,ND,ND,ND,0,72410,380529,520989,0,0,0,ND
28010,Cruillas,528,2730,3307,ND,ND,ND,2405,569,3055,4092,ND,ND,ND,135,586,3055,4308,ND,ND,ND,244,764,3811,5271,ND,ND,ND,2378,804,2654,3868,ND,ND,ND,2132,834,2695,4282,0,0,0,ND
28011,Gómez Farías,2534,9244,9910,ND,ND,ND,2274,2580,10832,12392,ND,ND,ND,0,2728,11664,12556,ND,ND,ND,170,2780,11473,13752,ND,ND,ND,169,2852,11225,12236,ND,ND,ND,0,2936,10330,12589,0,0,0,ND
28012,González,11617,45893,52515,ND,ND,ND,5393,12766,51829,64598,ND,ND,ND,0,13100,43638,55496,ND,ND,ND,0,13279,44740,62509,ND,ND,ND,0,13525,47892,59981,ND,ND,ND,0,13959,41872,58247,0,0,0,ND
28013,Güémez,4118,16395,15595,ND,ND,ND,479,4248,17873,17729,ND,ND,ND,0,4185,11524,11610,ND,ND,ND,0,3511,10441,11061,ND,ND,ND,0,4513,16394,18598,ND,ND,ND,0,5051,15627,18744,0,0,0,ND
28014,Guerrero,1941,10446,15068,ND,ND,ND,0,1960,10900,17311,ND,ND,ND,0,2014,10519,16896,ND,ND,ND,0,2012,10405,18085,ND,ND,ND,0,2025,9511,14257,ND,ND,ND,0,1581,6652,10148,0,0,0,ND
28015,Gustavo Díaz Ordaz,7208,30864,31170,ND,ND,ND,2797,7304,31393,34577,ND,ND,ND,0,7400,30303,34095,ND,ND,ND,70,7494,30645,36154,ND,ND,ND,517,7598,33240,38537,ND,ND,ND,0,7526,29902,36566,0,0,0,ND
28016,Hidalgo,7875,44669,42250,ND,ND,ND,4242,8255,50774,50533,ND,ND,ND,0,8515,31977,33800,ND,ND,ND,717,8754,35893,39901,ND,ND,ND,484,8930,38023,40330,ND,ND,ND,130,8913,31598,37522,0,0,0,ND
28017,Jaumave,3632,11484,14649,ND,ND,ND,739,3782,11157,15802,ND,ND,ND,0,3901,9398,12788,ND,ND,ND,5390,4052,9384,14098,ND,ND,ND,3623,4232,10149,12009,ND,ND,ND,0,4330,9319,13293,0,0,0,ND
28018,Jiménez,2899,8797,10034,ND,ND,ND,2992,3000,9657,12091,ND,ND,ND,611,3080,8191,10636,ND,ND,ND,0,3127,8989,12070,ND,ND,ND,0,3226,8520,11428,ND,ND,ND,0,3154,9752,13693,0,0,0,ND
28019,Llera,5275,17312,18318,ND,ND,ND,3035,5365,17782,19514,ND,ND,ND,0,5543,13850,15612,ND,ND,ND,1917,5711,14117,17027,ND,ND,ND,3672,5872,16410,18533,ND,ND,ND,0,6100,14434,17772,0,0,0,ND
28020,Mainero,921,2630,3055,ND,ND,ND,1356,966,2846,3555,ND,ND,ND,0,1075,1909,2381,ND,ND,ND,0,1095,2088,2838,ND,ND,ND,3595,1135,2310,3123,ND,ND,ND,44,1058,2023,2923,0,0,0,ND
28021,El Mante,40884,162624,186504,ND,ND,ND,1156,41186,170650,215163,ND,ND,ND,0,42103,152376,190632,ND,ND,ND,1125,43398,156089,212384,ND,ND,ND,981,43675,164266,208661,ND,ND,ND,179,44510,160763,216401,0,10,3962,ND
28022,Matamoros,149885,1469141,1471682,ND,ND,ND,12790,154484,1520682,1675279,ND,ND,ND,6506,162640,1572817,1793041,ND,ND,ND,10031,171098,1554783,2112597,ND,ND,ND,1978,167170,1422210,1690542,ND,ND,ND,0,173428,1495883,1935426,3,16,10869,ND
28023,Méndez,56,96,103,ND,ND,ND,0,113,233,234,ND,ND,ND,0,116,215,218,ND,ND,ND,385,117,198,208,ND,ND,ND,6773,126,261,284,ND,ND,ND,0,131,262,297,0,0,0,ND
28024,Mier,4975,22726,24749,ND,ND,ND,0,4976,22874,27232,ND,ND,ND,0,5049,22052,26705,ND,ND,ND,536,5072,21416,27399,ND,ND,ND,536,5021,22386,28214,ND,ND,ND,0,3702,15413,21732,0,0,0,ND
28025,Miguel Alemán,7957,43929,57757,ND,ND,ND,2,8000,45191,63886,ND,ND,ND,0,8166,43680,63351,ND,ND,ND,145,8303,41691,64939,ND,ND,ND,887,8315,43820,65844,ND,ND,ND,1273,8216,37998,59796,0,0,0,ND
28026,Miquihuana,884,1620,1914,ND,ND,ND,1320,926,1666,2189,ND,ND,ND,1022,932,1316,1598,ND,ND,ND,0,944,1331,1717,ND,ND,ND,0,961,1401,1852,ND,ND,ND,0,992,1338,1769,0,0,0,ND
28027,Nuevo Laredo,117573,1099027,1117232,ND,ND,ND,0,119353,1104323,1237774,ND,ND,ND,707,122851,1048102,1208166,ND,ND,ND,163,128898,1054282,1389763,ND,ND,ND,4065,128329,1068952,1251479,ND,ND,ND,0,129406,1109418,1421105,3,20,8027,ND
28028,Nuevo Morelos,862,2516,2772,ND,ND,ND,232,891,2868,3555,ND,ND,ND,0,957,3019,3623,ND,ND,ND,0,994,3171,4057,ND,ND,ND,0,1018,3502,4443,ND,ND,ND,0,1079,3299,4325,0,0,0,ND
28029,Ocampo,3878,10214,12104,ND,ND,ND,130,3972,10809,14012,ND,ND,ND,0,4052,6764,8371,ND,ND,ND,0,4119,6941,9097,ND,ND,ND,0,4239,7930,10351,ND,ND,ND,0,4368,7510,10009,0,0,0,ND
28030,Padilla,4756,26472,20355,ND,ND,ND,219,4840,28752,23251,ND,ND,ND,158,5223,20289,17966,ND,ND,ND,0,5431,27259,28344,ND,ND,ND,294,5582,32288,28615,ND,ND,ND,294,5780,23806,23661,0,0,0,ND
28031,Palmillas,589,1079,1452,ND,ND,ND,267,607,1265,1837,ND,ND,ND,0,615,846,1195,ND,ND,ND,0,630,925,1427,ND,ND,ND,0,656,973,1459,ND,ND,ND,0,669,944,1505,0,0,0,ND
28032,Reynosa,173330,2035993,2007108,ND,ND,ND,5708,186133,2231423,2441879,ND,ND,ND,3123,202955,2325112,2611419,ND,ND,ND,869,217258,2327456,3092908,ND,ND,ND,4959,225456,2238239,2568784,ND,ND,ND,4670,237914,2304254,2908280,4,24,17024,ND
28033,Río Bravo,36781,154820,162124,ND,ND,ND,1294,35064,160438,180465,ND,ND,ND,1222,38594,158941,184846,ND,ND,ND,747,40620,159635,199752,ND,ND,ND,2743,41606,154634,179670,ND,ND,ND,1161,43647,153006,188392,0,0,0,ND
28034,San Carlos,2344,5651,6195,ND,ND,ND,3083,2582,8573,8866,ND,ND,ND,2736,2564,5286,5539,ND,ND,ND,6165,2593,5574,6080,ND,ND,ND,2050,2712,6399,6566,ND,ND,ND,1900,2668,4394,5463,0,0,0,ND
28035,San Fernando,16991,56368,63761,ND,ND,ND,1073,17213,59768,73256,ND,ND,ND,1778,17695,56295,70822,ND,ND,ND,1640,18243,57866,79819,ND,ND,ND,3475,18684,59194,79892,ND,ND,ND,513,18926,56391,78596,0,0,0,ND
28036,San Nicolás,193,464,555,ND,ND,ND,0,202,493,647,ND,ND,ND,0,210,434,601,ND,ND,ND,1349,215,466,676,ND,ND,ND,0,223,489,727,ND,ND,ND,311,165,414,692,0,0,0,ND
28037,Soto la Marina,6471,32331,40033,ND,ND,ND,3199,6970,35232,48190,ND,ND,ND,0,7236,30890,44717,ND,ND,ND,2983,7575,33960,51955,ND,ND,ND,9188,8312,33519,45091,ND,ND,ND,3708,8717,28271,41544,0,0,0,ND
28038,Tampico,113603,679692,818186,ND,ND,ND,145,117633,749941,1003910,ND,ND,ND,0,121114,790741,1095132,ND,ND,ND,1184,123504,786609,1221767,ND,ND,ND,0,124806,767923,772119,ND,ND,ND,0,126289,687437,1013767,3,12,16105,ND
28039,Tula,6630,14171,18708,ND,ND,ND,2674,6884,15547,21785,ND,ND,ND,0,7097,15196,18105,ND,ND,ND,0,7319,17018,21808,ND,ND,ND,2381,7647,19700,22237,ND,ND,ND,0,7840,18208,22410,0,0,0,ND
28040,Valle Hermoso,24050,83714,96778,ND,ND,ND,1328,24178,85236,106674,ND,ND,ND,2509,24679,87996,113773,ND,ND,ND,2353,25331,88117,123110,ND,ND,ND,1190,25146,89334,119027,ND,ND,ND,386,25111,85734,121597,0,0,0,ND
28041,Victoria,94481,580109,673133,ND,ND,ND,219,98180,597239,758391,ND,ND,ND,139,101719,617446,773442,ND,ND,ND,6169,107004,634683,903913,ND,ND,ND,0,108978,661037,853371,ND,ND,ND,0,113374,682692,933897,1,14,11389,ND
28042,Villagrán,1594,4716,5285,ND,ND,ND,408,1644,5236,6044,ND,ND,ND,1358,1637,3282,4002,ND,ND,ND,0,1667,3553,4664,ND,ND,ND,0,1697,4120,5346,ND,ND,ND,0,1884,4046,5603,0,0,0,ND
28043,Xicoténcatl,6922,22014,21335,ND,ND,ND,511,7140,25700,26528,ND,ND,ND,1162,7238,22588,22611,ND,ND,ND,0,7730,23041,25405,ND,ND,ND,0,8041,28028,30831,ND,ND,ND,0,8210,27599,31624,0,0,0,ND
28996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,ND
28997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29001,Amaxac de Guerrero,2416,3773,4286,0,0,0,0,2550,7152,7866,0,0,0,0,2701,4095,5283,0,0,0,137,2577,3989,5158,0,0,0,137,2687,4184,5475,0,0,ND,0,2790,4219,5825,0,0,0,ND
29002,Apetatitlán de Antonio Carvajal,3596,39644,40693,0,0,0,313,3791,58138,59515,0,0,0,313,4014,40661,48366,0,0,0,0,3749,36699,54272,0,0,0,0,3884,37461,48242,0,0,ND,0,4010,39078,54918,0,0,0,ND
29003,Atlangatepec,1522,10202,11594,0,0,0,0,1651,20909,22216,0,0,0,0,1754,10912,13590,0,0,0,0,1665,12531,17899,0,0,0,407,1599,9863,11645,0,0,ND,0,1663,11228,14919,0,0,0,ND
29004,Atltzayanca,2264,8849,10713,ND,ND,ND,601,2444,14360,16337,ND,ND,ND,1039,2663,8277,10136,0,1,ND,120,2630,7397,8365,0,1,ND,1165,2548,7690,8484,0,1,ND,0,2643,6816,8601,0,1,ND,ND
29005,Apizaco,25721,332073,308519,ND,ND,ND,147,26067,144281,159850,ND,ND,ND,0,27142,338507,351270,0,2,ND,448,25408,356883,471902,0,2,ND,642,25981,219921,260146,0,2,ND,0,26184,226641,293426,0,2,ND,ND
29006,Calpulalpan,12327,73834,72741,ND,ND,ND,0,13130,62796,68093,ND,ND,ND,0,14046,81996,91277,0,1,ND,0,13455,53720,73942,0,1,ND,1363,13782,52055,62480,0,1,ND,0,14005,50169,67453,0,1,ND,ND
29007,El Carmen Tequexquitla,3236,7633,8021,0,0,0,184,3409,14394,15163,0,0,0,184,3578,8010,9780,0,0,0,78,3571,8312,10811,0,0,0,1262,3691,9570,11306,0,0,ND,0,3850,9305,12205,0,0,0,ND
29008,Cuapiaxtla,2311,8500,8667,0,0,0,0,2437,20501,21148,0,0,0,0,2674,7809,8635,0,0,0,898,2476,8329,8537,0,0,0,898,2641,10593,10265,0,0,ND,126,2753,11451,12827,0,0,0,ND
29009,Cuaxomulco,1101,3009,3382,0,0,0,0,1146,5070,5543,0,0,0,0,1229,2806,3505,0,0,0,0,1170,1978,2455,0,0,0,0,1225,1910,2357,0,0,ND,0,1278,2051,2622,0,0,0,ND
29010,Chiautempan,20286,106687,115492,ND,ND,ND,55,21233,173653,184822,ND,ND,ND,100,22453,114507,142452,0,1,ND,346,21143,66763,103298,0,1,ND,686,21796,66238,93253,0,1,ND,0,22535,67882,105303,0,1,ND,ND
29011,Muñoz de Domingo Arenas,659,1864,2410,0,0,0,0,1029,3357,3982,0,0,0,0,1101,2733,3683,0,0,0,267,1070,2246,3279,0,0,0,534,1138,2319,3362,0,0,ND,0,1180,2404,3582,0,0,0,ND
29012,Españita,1877,4213,4850,0,0,0,215,1973,7391,8133,0,0,0,581,2087,3889,4725,0,0,0,0,2061,3171,3810,0,0,0,352,2096,3118,3864,0,0,ND,0,2142,3073,3976,0,0,0,ND
29013,Huamantla,18524,85881,89904,ND,ND,ND,793,19788,117674,126778,ND,ND,ND,0,21336,69197,87148,0,2,ND,586,20295,70544,96413,0,2,ND,3315,21042,72830,88545,0,2,ND,0,21471,72449,97262,0,2,ND,ND
29014,Hueyotlipan,3365,8435,9377,ND,ND,ND,0,3535,16918,18595,ND,ND,ND,0,3716,8664,10952,0,1,ND,0,3535,7527,10455,0,1,ND,1006,3640,7198,9668,0,1,ND,0,3792,7758,10982,0,1,ND,ND
29015,Ixtacuixtla de Mariano Matamoros,8755,30361,32394,0,0,0,0,9302,53835,57384,0,0,0,0,9927,29050,36292,0,0,0,0,9327,30521,43174,0,0,0,364,10073,31122,40242,0,0,ND,0,9953,35059,48976,0,0,0,ND
29016,Ixtenco,1880,2614,2860,0,0,0,0,1972,6053,6448,0,0,0,0,2070,2940,3679,0,0,0,0,1971,2664,3306,0,0,0,104,2023,2653,3394,0,0,ND,230,2082,2776,3715,0,0,0,ND
29017,Mazatecochco de José María Morelos,2238,7608,7815,ND,ND,ND,195,2488,10232,10755,ND,ND,ND,0,2645,7548,9031,0,1,ND,46,2514,8302,11675,0,1,ND,533,2621,4785,6699,0,1,ND,180,2753,4999,7514,0,1,ND,ND
29018,Contla de Juan Cuamatzi,8038,37760,39322,0,0,0,976,8480,59348,62024,0,0,0,476,9006,37500,45497,0,0,0,164,8510,20617,30742,0,0,0,1354,8768,20764,29370,0,0,ND,0,9134,22565,34525,0,0,0,ND
29019,Tepetitla de Lardizábal,4926,12899,14025,0,0,0,0,5239,37264,38491,0,0,0,0,5503,13235,16708,0,0,0,0,5131,14370,22298,0,0,0,0,5547,14411,20723,0,0,ND,0,5818,16142,23801,0,0,0,ND
29020,Sanctórum de Lázaro Cárdenas,1851,3051,3222,0,0,0,0,1972,4507,5000,0,0,0,0,2219,3741,4589,0,0,0,56,2120,3289,4212,0,0,0,457,2225,3446,4382,0,0,ND,0,2308,3557,4719,0,0,0,ND
29021,Nanacamilpa de Mariano Arista,4796,7837,9164,0,0,0,0,5032,18144,20006,0,0,0,189,5242,10498,13369,0,0,0,0,4921,8019,10812,0,0,0,393,5046,7480,9728,0,0,ND,0,5185,7491,10341,0,0,0,ND
29022,Acuamanala de Miguel Hidalgo,1141,9028,9110,0,0,0,0,1156,8063,8526,0,0,0,0,1234,10086,11866,0,0,0,840,1215,12252,17501,0,0,0,839,1283,9592,12081,0,0,ND,0,1358,9991,13463,0,0,0,ND
29023,Natívitas,5327,10498,11455,ND,ND,ND,0,5535,23353,25311,ND,ND,ND,0,5849,11351,14356,0,1,ND,259,5456,10283,13290,0,1,ND,818,5737,10943,14446,0,1,ND,0,5823,11096,15543,0,1,ND,ND
29024,Panotla,6699,11783,13254,ND,ND,ND,358,7079,33224,35220,ND,ND,ND,132,7615,15149,19114,0,1,ND,858,7134,11568,18653,0,1,ND,1267,7374,12765,17612,0,1,ND,0,7547,12843,18254,0,1,ND,ND
29025,San Pablo del Monte,13718,19383,22701,ND,ND,ND,464,14338,46638,51344,ND,ND,ND,445,14751,22263,29855,0,1,ND,0,14236,29113,44100,0,1,ND,479,14863,30371,44728,0,1,ND,162,13280,29818,46905,0,1,ND,ND
29026,Santa Cruz Tlaxcala,3865,11494,12237,0,0,0,0,4136,20849,22265,0,0,0,0,4581,12388,15507,0,0,0,537,4538,8238,12210,0,0,0,2888,4892,8422,11465,0,0,ND,0,4975,8305,11459,0,0,0,ND
29027,Tenancingo,2889,4087,4278,0,0,0,0,3128,11011,11420,0,0,0,0,3295,6463,7550,0,0,0,0,3075,6007,7910,0,0,0,0,3161,6282,8155,0,0,ND,0,3282,6325,8774,0,0,0,ND
29028,Teolocholco,4665,20556,20851,0,0,0,0,4879,25212,26340,0,0,0,0,5216,17518,21002,0,0,0,0,4978,55440,72479,0,0,0,113,5278,53396,57977,0,0,ND,0,5446,56817,71605,0,0,0,ND
29029,Tepeyanco,2272,6801,7112,0,0,0,0,2405,13649,14376,0,0,0,0,2597,8782,10619,0,0,0,0,2465,5952,7929,0,0,0,894,2586,6326,8119,0,0,ND,0,2602,6407,8879,0,0,0,ND
29030,Terrenate,1884,4380,4892,0,0,0,594,2516,7365,8360,0,0,0,915,2717,5494,6922,0,0,0,165,2742,4679,5443,0,0,0,1382,2784,4670,5539,0,0,ND,0,2848,4765,6051,0,0,0,ND
29031,Tetla de la Solidaridad,6433,60297,61117,ND,ND,ND,177,6779,80789,82931,ND,ND,ND,177,7546,54507,64791,1,1,ND,316,7235,122242,162049,1,1,ND,1217,7667,108875,134055,1,1,ND,0,7707,121827,165221,1,1,ND,ND
29032,Tetlatlahuca,2467,6439,6615,0,0,0,0,2562,8931,9524,0,0,0,0,2689,6351,7574,0,0,0,150,2577,6141,14480,0,0,0,461,2707,6498,9325,0,0,ND,0,2716,6124,8914,0,0,0,ND
29033,Tlaxcala,30141,86182,99270,0,0,0,0,31179,227612,241414,0,0,0,550,32937,101554,131973,0,0,0,0,31439,104465,165783,0,0,0,2389,32843,101424,145159,0,0,ND,0,33457,104283,160262,0,0,0,ND
29034,Tlaxco,10052,32276,35995,0,0,0,0,10619,63849,69435,0,0,0,0,11407,31038,39956,0,0,0,1215,10787,21095,29042,0,0,0,3018,11382,21690,29610,0,0,ND,0,11804,23943,35130,0,0,0,ND
29035,Tocatlán,1127,1846,2039,0,0,0,0,1196,6371,6683,0,0,0,0,1282,2229,2931,0,0,0,0,1224,2072,2576,0,0,0,62,1256,2136,2744,0,0,ND,0,1292,2170,2894,0,0,0,ND
29036,Totolac,5061,7840,8957,0,0,0,0,5389,10831,12909,0,0,0,239,5758,8914,11498,0,0,0,70,5486,9621,13263,0,0,0,693,5657,9510,12866,0,0,ND,0,5801,9664,13778,0,0,0,ND
29037,Ziltlaltépec de Trinidad Sánchez Santos,1677,2867,3088,0,0,0,0,1767,5095,5573,0,0,0,0,1844,2920,3558,0,0,0,76,1791,2916,3869,0,0,0,442,1817,2728,3381,0,0,ND,0,1936,2570,3265,0,0,0,ND
29038,Tzompantepec,7324,10897,11730,0,0,0,0,7814,22185,23450,0,0,0,0,9188,15410,18690,0,0,0,704,8836,11134,13710,0,0,0,2153,9313,11749,14536,0,0,ND,0,9119,12104,15580,0,0,0,ND
29039,Xaloztoc,4330,369992,258317,ND,ND,ND,264,4528,36139,37493,ND,ND,ND,264,4903,409547,326671,0,1,ND,343,4643,327265,348707,0,1,ND,60,4837,332209,268507,0,1,ND,0,5039,317101,315038,0,1,ND,ND
29040,Xaltocan,2286,6483,7021,0,0,0,0,2395,12384,13298,0,0,0,0,2579,6190,7727,0,0,0,0,2499,3968,5244,0,0,0,440,2601,4285,5865,0,0,ND,0,2716,4445,6456,0,0,0,ND
29041,Papalotla de Xicohténcatl,6668,104704,99440,ND,ND,ND,253,6969,63992,65666,ND,ND,ND,0,7392,106966,116034,0,1,ND,1282,7041,102093,132843,0,1,ND,1069,7283,100680,111935,0,1,ND,0,7540,113625,142586,0,1,ND,ND
29042,Xicohtzinco,3552,12038,12473,0,0,0,0,3771,22172,22917,0,0,0,0,3973,11576,13898,0,0,0,0,3717,45328,60718,0,0,0,457,3844,43358,48926,0,0,ND,0,4040,49601,62777,0,0,0,ND
29043,Yauhquemehcan,7619,24176,26776,ND,ND,ND,0,7551,40925,44013,ND,ND,ND,0,8493,24619,31436,0,1,ND,265,8260,15611,21579,0,1,ND,1942,8791,19090,25995,0,1,ND,0,8810,19625,28878,0,1,ND,ND
29044,Zacatelco,11131,36356,39428,0,0,0,899,11233,63783,67536,0,0,0,751,11775,42599,52248,0,0,0,255,11265,26307,37112,0,0,0,465,11687,26759,35455,0,0,ND,0,12068,28312,41166,0,0,0,ND
29045,Benito Juárez,1373,2791,2755,0,0,0,0,1454,3891,4026,0,0,0,0,1566,2957,3274,0,0,0,0,1469,2452,2832,0,0,0,0,1483,2671,3019,0,0,ND,0,1524,2480,3184,0,0,0,ND
29046,Emiliano Zapata,814,1576,1916,0,0,0,0,889,2670,3030,0,0,0,0,950,1609,2133,0,0,0,0,887,1302,1829,0,0,0,0,916,1313,1765,0,0,ND,0,947,1371,1945,0,0,0,ND
29047,Lázaro Cárdenas,545,1094,1277,0,0,0,0,660,3611,3845,0,0,0,0,715,1364,1814,0,0,0,96,618,796,982,0,0,0,96,712,888,1136,0,0,ND,0,748,912,1204,0,0,0,ND
29048,La Magdalena Tlaltelulco,2348,52980,47979,0,0,0,0,2493,18808,19458,0,0,0,251,2699,52768,53353,0,0,0,116,2555,35640,50385,0,0,0,116,2693,32614,39520,0,0,ND,0,2848,34889,47912,0,0,0,ND
29049,San Damián Texóloc,1125,1972,2239,0,0,0,0,1187,4145,4427,0,0,0,544,1287,2315,2974,0,0,0,138,1205,2304,3076,0,0,0,138,1253,2302,3129,0,0,ND,0,1270,2273,3295,0,0,0,ND
29050,San Francisco Tetlanohcan,2298,3614,4073,0,0,0,0,2415,10330,10913,0,0,0,0,2573,4257,5478,0,0,0,0,2427,3682,4598,0,0,0,0,2528,3825,4855,0,0,ND,867,2593,3907,5197,0,0,0,ND
29051,San Jerónimo Zacualpan,966,1673,1811,0,0,0,0,999,3827,4008,0,0,0,0,1030,1795,2274,0,0,0,0,972,1856,2343,0,0,0,584,1008,1886,2419,0,0,ND,291,1043,1847,2501,0,0,0,ND
29052,San José Teacalco,959,1760,2002,0,0,0,0,969,5066,5338,0,0,0,0,1045,1977,2571,0,0,0,0,1021,2384,3508,0,0,0,0,1072,2427,3504,0,0,ND,0,1081,2450,3629,0,0,0,ND
29053,San Juan Huactzinco,1312,2009,2147,0,0,0,0,1340,3079,3361,0,0,0,0,1422,2185,2712,0,0,0,0,1341,2428,3153,0,0,0,0,1399,2701,3519,0,0,ND,0,1400,2562,3591,0,0,0,ND
29054,San Lorenzo Axocomanitla,1032,1595,1741,0,0,0,0,1102,1553,1778,0,0,0,146,1167,1812,2256,0,0,0,601,1100,1679,2092,0,0,0,0,1129,1712,2155,0,0,ND,0,1170,1712,2214,0,0,0,ND
29055,San Lucas Tecopilco,561,1191,1371,0,0,0,0,583,3320,3476,0,0,0,0,625,1140,1452,0,0,0,0,635,1118,1375,0,0,0,1086,660,1206,1593,0,0,ND,0,682,1259,1732,0,0,0,ND
29056,Santa Ana Nopalucan,1326,1912,2045,0,0,0,0,1397,3018,3296,0,0,0,0,1438,1971,2428,0,0,0,0,1343,2564,3405,0,0,0,371,1402,2729,3684,0,0,ND,0,1429,2799,4018,0,0,0,ND
29057,Santa Apolonia Teacalco,540,1398,1621,0,0,0,0,471,7725,7787,0,0,0,0,459,1016,1324,0,0,0,94,421,1095,1651,0,0,0,756,453,1156,1642,0,0,ND,0,420,1129,1687,0,0,0,ND
29058,Santa Catarina Ayometla,1837,3143,3422,0,0,0,0,1924,8618,8942,0,0,0,0,1986,3246,3972,0,0,0,0,1860,3756,4842,0,0,0,0,2001,3492,4308,0,0,ND,0,2044,3286,4298,0,0,0,ND
29059,Santa Cruz Quilehtla,1405,2397,2768,0,0,0,0,1450,3494,3987,0,0,0,0,1525,2387,2979,0,0,0,392,1445,2392,3167,0,0,0,276,1538,2597,3525,0,0,ND,0,1581,2582,3736,0,0,0,ND
